Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 364: Reward=-266.21, Cost=2662060.06, Length=500
Episode 365: Reward=-268.65, Cost=2686508.86, Length=500
Episode 366: Reward=-272.27, Cost=2722717.32, Length=500
Episode 367: Reward=-268.75, Cost=2687461.30, Length=500
Episode 368: Reward=-277.19, Cost=2771856.79, Length=500
Episode 369: Reward=-270.74, Cost=2707382.28, Length=500
Episode 370: Reward=-275.19, Cost=2751872.88, Length=500
Episode 371: Reward=-274.30, Cost=2742982.65, Length=500
Episode 372: Reward=-277.98, Cost=2779784.83, Length=500
Episode 373: Reward=-272.99, Cost=2729874.70, Length=500
Episode 374: Reward=-272.16, Cost=2721635.26, Length=500
Episode 375: Reward=-275.79, Cost=2757935.89, Length=500
Episode 376: Reward=-274.02, Cost=2740213.20, Length=500
Episode 377: Reward=-274.71, Cost=2747141.54, Length=500
Episode 378: Reward=-268.26, Cost=2682630.08, Length=500
Episode 379: Reward=-277.65, Cost=2776470.89, Length=500
Episode 380: Reward=-271.33, Cost=2713344.03, Length=500
Episode 381: Reward=-295.73, Cost=2957332.16, Length=500
Episode 382: Reward=-269.44, Cost=2694433.89, Length=500
Episode 383: Reward=-276.32, Cost=2763158.36, Length=500
Episode 384: Reward=-280.42, Cost=2804177.22, Length=500
Episode 385: Reward=-279.74, Cost=2797361.85, Length=500
Episode 386: Reward=-271.26, Cost=2712621.27, Length=500
Episode 387: Reward=-298.98, Cost=2989800.02, Length=500
Episode 388: Reward=-279.55, Cost=2795480.05, Length=500
Episode 389: Reward=-267.69, Cost=2676889.19, Length=500
Episode 390: Reward=-266.07, Cost=2660695.88, Length=500
Episode 391: Reward=-272.03, Cost=2720267.63, Length=500
Episode 392: Reward=-263.27, Cost=2632698.55, Length=500
Episode 393: Reward=-278.38, Cost=2783769.30, Length=500
Episode 394: Reward=-278.93, Cost=2789334.59, Length=500
Episode 395: Reward=-273.90, Cost=2739011.19, Length=500
Episode 396: Reward=-271.15, Cost=2711496.72, Length=500
Episode 397: Reward=-274.92, Cost=2749160.80, Length=500
Episode 398: Reward=-282.45, Cost=2824483.73, Length=500
Episode 399: Reward=-276.40, Cost=2763961.98, Length=500
Episode 400: Reward=-264.02, Cost=2640173.90, Length=500
Episode 401: Reward=-275.72, Cost=2757190.38, Length=500
Episode 402: Reward=-273.89, Cost=2738922.94, Length=500
Episode 403: Reward=-263.19, Cost=2631932.36, Length=500
Episode 404: Reward=-274.29, Cost=2742905.29, Length=500
Episode 405: Reward=-275.17, Cost=2751685.52, Length=500
Episode 406: Reward=-301.12, Cost=3011241.16, Length=500
Episode 407: Reward=-270.82, Cost=2708189.71, Length=500
Episode 408: Reward=-269.13, Cost=2691329.92, Length=500
Episode 409: Reward=-268.88, Cost=2688770.41, Length=500
Episode 410: Reward=-266.67, Cost=2666732.23, Length=500
Episode 411: Reward=-267.54, Cost=2675388.98, Length=500
Episode 412: Reward=-273.60, Cost=2735971.52, Length=500
Episode 413: Reward=-290.38, Cost=2903825.46, Length=500
Episode 414: Reward=-271.17, Cost=2711665.78, Length=500
Episode 415: Reward=-269.74, Cost=2697352.00, Length=500
Episode 416: Reward=-271.20, Cost=2712030.04, Length=500
Episode 417: Reward=-271.35, Cost=2713493.77, Length=500
Episode 418: Reward=-277.67, Cost=2776741.56, Length=500
Episode 419: Reward=-279.76, Cost=2797636.57, Length=500
Episode 420: Reward=-276.56, Cost=2765569.92, Length=500
Episode 421: Reward=-273.62, Cost=2736240.76, Length=500
Episode 422: Reward=-271.99, Cost=2719948.28, Length=500
Episode 423: Reward=-266.70, Cost=2666969.62, Length=500
Episode 424: Reward=-265.71, Cost=2657138.37, Length=500
Episode 425: Reward=-264.89, Cost=2648891.51, Length=500
Episode 426: Reward=-267.26, Cost=2672584.79, Length=500
Episode 427: Reward=-261.47, Cost=2614671.25, Length=500
Episode 428: Reward=-270.84, Cost=2708422.68, Length=500
Episode 429: Reward=-273.73, Cost=2737306.10, Length=500
